,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend,21 moving average,34 moving average,average,std 20,std14,upperband,lowerband,open-close,low-high,5_day_rolling,5_day_rolling_std,Action
48,48,BAJFINANCE,EQ,2017-07-21,1595.35,1598.9,1631.5,1585.0,1623.0,1621.35,1613.88,1380541,2228031116.0,54293,459973,33.32,2017,7,1.629736421,Positive,1442.8999999999994,1418.2779411764707,1474.2499999999998,79.46542063641924,79.46542063641924,1633.1808412728385,1315.3191587271613,1.40409031208955,2.9337539432176656,1.5916405952,1.9699857904995821,-1.0
49,49,BAJFINANCE,EQ,2017-07-24,1621.35,1633.0,1637.3,1587.95,1602.0,1597.4,1609.17,835475,1344419753.0,38922,320470,38.36,2017,7,-1.477164092,Negative,1452.2142857142856,1425.1691176470588,1489.810714285714,80.81304202286266,80.81304202286266,1651.4367983314396,1328.1846302399888,-2.1800367421922786,3.107780471677314,0.7746658265999999,2.2677799096940876,1.0
50,50,BAJFINANCE,EQ,2017-07-25,1597.4,1606.9,1632.9,1600.0,1632.7,1627.5,1621.22,813854,1319436780.0,35029,289558,35.58,2017,7,1.884312007,Positive,1463.0119047619046,1433.7235294117647,1506.1642857142856,84.02627434451517,84.02627434451517,1674.216834403316,1338.1117370252553,1.2819714979152348,2.0562500000000057,1.4914697293999999,1.8104595377657213,1.0
51,51,BAJFINANCE,EQ,2017-07-26,1627.5,1636.0,1695.75,1630.0,1691.15,1687.15,1665.45,1475906,2458050594.0,49277,490085,33.21,2017,7,3.665130568,Among top gainers,1479.0690476190475,1443.8411764705884,1526.725,90.80954022653006,90.80954022653006,1708.3440804530605,1345.10591954694,3.1265281173594186,4.033742331288344,1.8343745086000003,2.0638029958525386,-1.0
52,52,BAJFINANCE,EQ,2017-07-27,1687.15,1704.0,1739.8,1671.1,1673.9,1679.35,1709.8,1955562,3343620960.0,62265,565168,28.9,2017,7,-0.46231811,No change,1493.688095238095,1453.1838235294117,1547.2714285714285,90.44986013146799,90.44986013146799,1728.1711488343647,1366.3717083084925,-1.4465962441314606,4.1110645682484614,1.0479393588,2.033760182092744,1.0
53,53,BAJFINANCE,EQ,2017-07-28,1679.35,1672.0,1710.9,1662.55,1702.2,1701.35,1694.75,926268,1569796006.0,38831,231827,25.03,2017,7,1.310030667,Positive,1509.1666666666665,1462.7279411764707,1567.8821428571425,90.32663932626923,90.32663932626923,1748.5354215096813,1387.2288642046042,1.7553827751196116,2.90818321253497,0.9839982079999998,2.015842478437052,1.0
54,54,BAJFINANCE,EQ,2017-07-31,1701.35,1718.0,1724.0,1697.6,1705.65,1703.1,1708.39,576928,985615846.1,23982,229995,39.87,2017,7,0.102859494,No change,1524.8809523809525,1472.6735294117648,1588.1607142857142,86.15108637774587,86.15108637774587,1760.4628870412055,1415.8585415302225,-0.8672875436554185,1.555136663524982,1.3000029251999998,1.6181991727990384,1.0
55,55,BAJFINANCE,EQ,2017-08-01,1703.1,1709.9,1727.9,1706.05,1718.0,1716.25,1718.82,692591,1190439655.0,31158,307909,44.46,2017,8,0.7721214259999999,Slight positive,1540.5523809523806,1482.8132352941175,1607.6285714285711,81.67389591984178,81.67389591984178,1770.9763632682548,1444.2807795888875,0.3713667465933627,1.2807362035110423,1.0775648089999996,1.5940610439864453,-1.0
56,56,BAJFINANCE,EQ,2017-08-02,1716.25,1724.95,1726.2,1691.1,1705.0,1707.2,1708.87,396171,677006159.4,16443,94058,23.74,2017,8,-0.5273124539999999,Slight negative,1556.1547619047612,1492.9955882352938,1623.435714285714,77.61672705468317,77.61672705468317,1778.6691683950799,1468.2022601763474,-1.0290153337777905,2.0755721128259794,0.23907620459999981,0.7951322565181288,-1.0
57,57,BAJFINANCE,EQ,2017-08-03,1707.2,1714.0,1729.0,1698.05,1708.0,1701.75,1713.46,775709,1329143630.0,38229,345257,44.51,2017,8,-0.31923617600000004,No change,1570.5928571428572,1501.7161764705884,1637.8892857142853,71.32818026173388,71.32818026173388,1780.545646237753,1495.2329251908175,-0.7147024504084014,1.8226789552722267,0.2676925913999998,0.7656052284358181,1.0
58,58,BAJFINANCE,EQ,2017-08-04,1701.75,1704.9,1730.0,1701.05,1729.55,1723.45,1714.61,710636,1218461438.0,30960,328620,46.24,2017,8,1.275157926,Positive,1586.0285714285708,1510.9264705882351,1651.0999999999995,68.57859331845691,68.57859331845691,1788.2571866369135,1513.9428133630859,1.0880403542729753,1.701890009112022,0.2607180431999999,0.7538036843560884,1.0
59,59,BAJFINANCE,EQ,2017-08-07,1723.45,1735.5,1805.95,1729.6,1800.0,1798.15,1781.41,1504033,2679297945.0,45419,563718,37.48,2017,8,4.334329397,Among top gainers,1605.3833333333332,1522.641176470588,1671.5142857142855,66.60852460046215,66.60852460046215,1804.7313349152093,1538.2972365133612,3.6099106885623797,4.414315448658657,1.1070120237999999,1.9532794609610418,-1.0
60,60,BAJFINANCE,EQ,2017-08-08,1798.15,1813.0,1829.5,1772.0,1778.0,1779.8,1798.06,1761065,3166505882.0,52781,788011,44.75,2017,8,-1.020493285,Negative,1622.8595238095236,1533.529411764706,1688.5107142857141,61.10880012973988,61.10880012973988,1810.7283145451934,1566.2931140262344,-1.8312189740761196,3.2449209932279914,0.7484890816,2.1813204851939827,-1.0
61,61,BAJFINANCE,EQ,2017-08-09,1779.8,1769.9,1769.9,1682.55,1693.0,1697.7,1725.25,1899560,3277223611.0,55363,1150309,60.56,2017,8,-4.612877851,Among top losers,1636.1214285714286,1541.795588235294,1695.821428571429,54.914607536418806,54.914607536418806,1805.6506436442664,1585.9922134985914,-4.079326515622354,5.191524768951897,-0.06862399780000009,3.27150015824592,-1.0
62,62,BAJFINANCE,EQ,2017-08-10,1697.7,1680.0,1689.9,1610.05,1650.0,1635.6,1655.57,1835002,3037977637.0,53350,1046613,57.04,2017,8,-3.657890087,Among top losers,1645.2595238095237,1548.6720588235294,1696.8392857142858,53.54301354472247,53.54301354472247,1803.9253128037308,1589.7532586248408,-2.642857142857148,4.9594733082823605,-0.7363547800000002,3.6538184050847446,1.0
63,63,BAJFINANCE,EQ,2017-08-11,1635.6,1590.0,1732.6,1590.0,1704.9,1695.4,1678.57,3505576,5884367717.0,71055,1489630,42.49,2017,8,3.656150648,Among top gainers,1655.235714285714,1557.338235294117,1703.8392857142858,45.31683834858586,45.31683834858586,1794.4729624114575,1613.205609017114,6.628930817610068,8.96855345911949,-0.2601562356000002,4.108395399955764,1.0
64,64,BAJFINANCE,EQ,2017-08-14,1695.4,1721.3,1742.35,1705.0,1717.0,1710.9,1718.56,1311855,2254500538.0,49700,678202,51.7,2017,8,0.914238528,Slight positive,1665.3071428571427,1567.9544117647058,1709.7964285714286,39.63520901869713,39.63520901869713,1789.0668466088227,1630.5260105340344,-0.6041945041538292,2.1906158357771206,-0.9441744094000002,3.370688044438056,1.0
65,65,BAJFINANCE,EQ,2017-08-16,1710.9,1730.0,1730.0,1683.2,1725.0,1721.35,1704.39,705754,1202879178.0,27125,233605,33.1,2017,8,0.6107896429999999,Slight positive,1674.0142857142855,1578.2191176470587,1712.2392857142856,39.18342064313002,39.18342064313002,1790.6061270005453,1633.8724444280256,-0.5000000000000052,2.7804182509505675,-0.6179178238000004,3.439695604516376,1.0
66,66,BAJFINANCE,EQ,2017-08-17,1721.35,1730.0,1762.5,1720.5,1722.0,1728.75,1740.6,729269,1269367431.0,21925,165060,22.63,2017,8,0.42989514,No change,1684.3190476190475,1588.585294117647,1715.767857142857,38.20593292198637,38.20593292198637,1792.1797229868298,1639.3559912988846,-0.0722543352601156,2.4411508282476024,0.3906367743999997,2.616214722998994,-1.0
67,67,BAJFINANCE,EQ,2017-08-18,1728.75,1710.0,1722.9,1688.5,1701.0,1704.95,1705.49,932335,1590085129.0,52990,463361,49.7,2017,8,-1.376717281,Negative,1692.0857142857142,1598.345588235294,1716.025,38.11343267143175,38.11343267143175,1792.2518653428635,1639.7981346571366,-0.29532163742689793,2.037311222978981,0.8468713355999998,1.8076599958815207,-1.0
