Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,pct_change,Trend
BAJFINANCE,EQ,2018-03-27,1741.6,1750,1798,1749.8,1775.8,1772.45,1779.09,1670239,2971503033,81069,778826,46.63,2018,3,1.771359669,Positive
BAJFINANCE,EQ,2018-03-28,1772.45,1777,1793,1760.8,1772.8,1767.55,1779.05,986960,1755848218,39469,388723,39.39,2018,3,-0.276453497,No change
BAJFINANCE,EQ,2018-04-02,1767.55,1769,1825,1769,1824.7,1818.6,1801.28,633203,1140577884,31334,224041,35.38,2018,4,2.888178552,Positive
BAJFINANCE,EQ,2018-04-03,1818.6,1820,1840,1801.6,1831.75,1834.25,1824.02,1049457,1914231754,41549,460658,43.89,2018,4,0.860552073,Slight positive
BAJFINANCE,EQ,2018-04-04,1834.25,1840,1869.6,1836.7,1847,1850.2,1853.68,1793441,3324467952,54366,984526,54.9,2018,4,0.869565217,Slight positive
BAJFINANCE,EQ,2018-04-05,1850.2,1866,1922.1,1866,1914,1915.6,1908.42,1385959,2644986246,45034,627993,45.31,2018,4,3.534753,Among top gainers
BAJFINANCE,EQ,2018-04-06,1915.6,1919,1943.5,1908.85,1939,1937.6,1932.1,1612001,3114552244,39635,820004,50.87,2018,4,1.148465233,Positive
BAJFINANCE,EQ,2018-04-09,1937.6,1942.6,1967.75,1930.25,1937.95,1944.25,1950.92,1131792,2208031475,42612,678381,59.94,2018,4,0.343208092,No change
BAJFINANCE,EQ,2018-04-10,1944.25,1950,1952.45,1913.65,1922,1926.05,1929.85,1013811,1956506071,30907,424099,41.83,2018,4,-0.936093609,Slight negative
BAJFINANCE,EQ,2018-04-11,1926.05,1926,1955,1891.4,1918,1924.65,1920.01,1188976,2282845563,30665,643772,54.15,2018,4,-0.072687625,No change
BAJFINANCE,EQ,2018-04-12,1924.65,1923.75,1942.1,1911.05,1927.5,1929.35,1929.76,535354,1033103514,17619,173674,32.44,2018,4,0.244200244,No change
BAJFINANCE,EQ,2018-04-13,1929.35,1931,1948.85,1907.6,1918.8,1914.35,1923.62,592886,1140487365,25466,224479,37.86,2018,4,-0.777463913,Slight negative
BAJFINANCE,EQ,2018-04-16,1914.35,1913.95,1950,1897.55,1949,1943.3,1924.64,772723,1487216896,27211,424202,54.9,2018,4,1.512262648,Positive
BAJFINANCE,EQ,2018-04-17,1943.3,1959.9,1959.9,1918,1935,1935.05,1935.99,696203,1347840634,40737,315697,45.35,2018,4,-0.424535584,No change
BAJFINANCE,EQ,2018-04-18,1935.05,1946,1950.55,1921.3,1927.15,1926.85,1934.24,462905,895368377.6,20106,164409,35.52,2018,4,-0.42376166,No change
BAJFINANCE,EQ,2018-04-19,1926.85,1935,1935.5,1908.15,1910.55,1913.3,1917.66,632589,1213089277,19337,373158,58.99,2018,4,-0.703220282,Slight negative
BAJFINANCE,EQ,2018-04-20,1913.3,1907.8,1907.8,1850.15,1881,1880.4,1868.16,1226196,2290734255,44935,677076,55.22,2018,4,-1.719542152,Negative
BAJFINANCE,EQ,2018-04-23,1880.4,1880,1919.75,1860.8,1899,1899.35,1892.15,762125,1442053158,48306,332162,43.58,2018,4,1.007764305,Positive
BAJFINANCE,EQ,2018-04-24,1899.35,1908,1933.25,1898.6,1926,1917.8,1916.44,784895,1504206020,28384,353709,45.06,2018,4,0.971384947,Slight positive
BAJFINANCE,EQ,2018-04-25,1917.8,1925.95,1938.95,1888.65,1900,1899.85,1914.96,677675,1297718402,21972,261181,38.54,2018,4,-0.935968297,Slight negative
BAJFINANCE,EQ,2018-04-26,1899.85,1909,1915,1876.6,1907,1892.1,1894.52,1098339,2080828330,35027,606882,55.25,2018,4,-0.407926942,No change
BAJFINANCE,EQ,2018-04-27,1892.1,1912,1915.45,1892.5,1903,1901.15,1902.29,641591,1220492858,15951,337174,52.55,2018,4,0.478304529,No change
BAJFINANCE,EQ,2018-04-30,1901.15,1924.9,1924.9,1894.8,1904.8,1907.7,1909.05,647210,1235557150,21509,432836,66.88,2018,4,0.344528312,No change
BAJFINANCE,EQ,2018-05-02,1907.7,1909,1936.75,1900,1903.1,1905.1,1920.59,687083,1319606919,26841,333162,48.49,2018,5,-0.136289773,No change
BAJFINANCE,EQ,2018-05-03,1905.1,1905.05,1906.75,1862.6,1879,1874.3,1881.92,471750,887794298,18379,243376,51.59,2018,5,-1.616713033,Negative
BAJFINANCE,EQ,2018-05-04,1874.3,1880,1893.25,1851.65,1866,1857.4,1869.59,562177,1051038743,18917,352862,62.77,2018,5,-0.901669957,Slight negative
BAJFINANCE,EQ,2018-05-07,1857.4,1865,1902,1856.05,1892,1895.45,1882.65,485519,914060624.9,20023,286493,59.01,2018,5,2.048562507,Positive
BAJFINANCE,EQ,2018-05-08,1895.45,1898.5,1898.5,1860,1875,1868.4,1873.63,669757,1254877126,35657,406051,60.63,2018,5,-1.427101744,Negative
BAJFINANCE,EQ,2018-05-09,1868.4,1875.1,1875.1,1845,1848,1849.1,1854.12,645553,1196932029,31073,449374,69.61,2018,5,-1.032969386,Negative
BAJFINANCE,EQ,2018-05-10,1849.1,1852,1861.45,1818,1836,1837.4,1836.31,588792,1081202662,20825,316490,53.75,2018,5,-0.632740252,Slight negative
BAJFINANCE,EQ,2018-05-11,1837.4,1845,1880.75,1828.1,1855,1861.5,1865.82,483249,901653615.3,16335,147881,30.6,2018,5,1.311636007,Positive
BAJFINANCE,EQ,2018-05-14,1861.5,1863.1,1883.95,1842.95,1856.7,1864.5,1865.99,642971,1199775599,23366,387420,60.25,2018,5,0.161160355,No change
BAJFINANCE,EQ,2018-05-15,1864.5,1865.25,1933.5,1854.5,1900,1901.95,1905.25,1570302,2991814700,59690,628260,40.01,2018,5,2.008581389,Positive
BAJFINANCE,EQ,2018-05-16,1901.95,1892.5,1929,1872.9,1929,1919.95,1908.26,952836,1818256702,35756,439871,46.16,2018,5,0.946397119,Slight positive
BAJFINANCE,EQ,2018-05-17,1919.95,1930,2087.8,1906.1,2067.95,2066.5,2003.37,5581203,11181210536,159158,1598192,28.64,2018,5,7.633011276,Bull run
BAJFINANCE,EQ,2018-05-18,2066.5,2069.9,2171.75,2065.65,2139,2149.65,2126.79,8316734,17687907758,225313,2036992,24.49,2018,5,4.02371159,Among top gainers
BAJFINANCE,EQ,2018-05-21,2149.65,2125,2149,2080.55,2114.9,2105.45,2105.9,2376823,5005357985,72060,900391,37.88,2018,5,-2.056148675,Negative
BAJFINANCE,EQ,2018-05-22,2105.45,2111,2177.9,2110,2146,2149.3,2155.28,1963373,4231625669,79406,306180,15.59,2018,5,2.082690161,Positive
BAJFINANCE,EQ,2018-05-23,2149.3,2148,2148,2066.2,2079.85,2078.4,2099.34,1443827,3031085181,62774,438684,30.38,2018,5,-3.29874843,Among top losers
BAJFINANCE,EQ,2018-05-24,2078.4,2095.5,2109.8,2068,2109,2094.75,2086.16,840932,1754316686,30038,178900,21.27,2018,5,0.786662818,Slight positive
BAJFINANCE,EQ,2018-05-25,2094.75,2107,2151.9,2103.5,2120,2116,2128.68,1342145,2857003477,48489,293628,21.88,2018,5,1.014440864,Positive
BAJFINANCE,EQ,2018-05-28,2116,2125,2138,2086.25,2096.2,2094.95,2105.35,806190,1697311144,27155,245425,30.44,2018,5,-0.994801512,Slight negative
BAJFINANCE,EQ,2018-05-29,2094.95,2105,2107,2065.05,2080,2077.1,2085.25,727259,1516519677,36634,219850,30.23,2018,5,-0.852048975,Slight negative
BAJFINANCE,EQ,2018-05-30,2077.1,2063.3,2130,2056.25,2130,2118.65,2100.07,1251508,2628260086,53403,298001,23.81,2018,5,2.000385152,Positive
BAJFINANCE,EQ,2018-05-31,2118.65,2142.5,2145,2101,2111.35,2109.9,2121.83,1323397,2808022034,67410,493442,37.29,2018,5,-0.412998844,No change
BAJFINANCE,EQ,2018-06-01,2109.9,2120,2120,2065.8,2078,2077.4,2088.53,604574,1262671756,26591,200124,33.1,2018,6,-1.540357363,Negative
BAJFINANCE,EQ,2018-06-04,2077.4,2090.2,2098.75,2055.3,2057,2062.85,2073.84,513152,1064192801,23021,156624,30.52,2018,6,-0.700394724,Slight negative
BAJFINANCE,EQ,2018-06-05,2062.85,2065,2119.55,2055,2114.25,2100.6,2083.92,816879,1702311602,41227,281192,34.42,2018,6,1.829992486,Positive
BAJFINANCE,EQ,2018-06-06,2100.6,2122,2172.9,2107,2168.25,2160.65,2142.7,1802977,3863242920,73745,466140,25.85,2018,6,2.858707036,Positive
BAJFINANCE,EQ,2018-06-07,2160.65,2172,2197.2,2160.15,2167,2169.45,2181.8,1489413,3249606089,71154,347209,23.31,2018,6,0.407284845,No change
BAJFINANCE,EQ,2018-06-08,2169.45,2164.9,2219.95,2147.05,2210,2186.85,2190.2,3039595,6657313397,77464,1252757,41.21,2018,6,0.802046602,Slight positive
BAJFINANCE,EQ,2018-06-11,2186.85,2210,2258.5,2196.2,2250,2250.3,2236.24,2059581,4605716851,75808,833684,40.48,2018,6,2.901433569,Positive
BAJFINANCE,EQ,2018-06-12,2250.3,2255,2277,2236,2263,2261.25,2258.87,1655167,3738810728,60888,745760,45.06,2018,6,0.486601786,No change
BAJFINANCE,EQ,2018-06-13,2261.25,2270,2271.6,2225.7,2233.2,2231.05,2242.65,1095372,2456532733,64896,517603,47.25,2018,6,-1.3355445,Negative
BAJFINANCE,EQ,2018-06-14,2231.05,2235,2252,2197,2251.7,2243.25,2220.71,1321341,2934314588,41796,603530,45.68,2018,6,0.546827727,Slight positive
BAJFINANCE,EQ,2018-06-15,2243.25,2250,2291.55,2231.1,2279,2283.6,2273.28,1637500,3722495104,77355,623307,38.06,2018,6,1.798729522,Positive
BAJFINANCE,EQ,2018-06-18,2283.6,2272,2296,2234.2,2239.65,2243.15,2265.07,1126877,2552451099,112369,505813,44.89,2018,6,-1.771325977,Negative
BAJFINANCE,EQ,2018-06-19,2243.15,2235,2281,2227.05,2269.45,2270.6,2268.85,1151582,2612771041,64250,395469,34.34,2018,6,1.223725564,Positive
BAJFINANCE,EQ,2018-06-20,2270.6,2274.95,2302.1,2261.15,2268.7,2267.8,2284.95,1127273,2575766142,46257,444405,39.42,2018,6,-0.123315423,No change
BAJFINANCE,EQ,2018-06-21,2267.8,2277,2288,2250.1,2257.2,2257.45,2267.69,717023,1625983125,43732,252604,35.23,2018,6,-0.456389452,No change
BAJFINANCE,EQ,2018-06-22,2257.45,2267,2342,2250.55,2342,2336.05,2305.72,1714224,3952516033,61570,476196,27.78,2018,6,3.481804691,Among top gainers
BAJFINANCE,EQ,2018-06-25,2336.05,2342,2399,2334,2385.05,2390.6,2379.12,2393535,5694509403,98474,867655,36.25,2018,6,2.335138375,Positive
BAJFINANCE,EQ,2018-06-26,2390.6,2385,2419.15,2344.55,2367,2367.35,2376.65,2337942,5556479985,120935,921045,39.4,2018,6,-0.97255919,Slight negative
BAJFINANCE,EQ,2018-06-27,2367.35,2379.8,2379.8,2322.55,2336,2335.5,2339.39,1069126,2501097610,48300,523302,48.95,2018,6,-1.345386191,Negative
BAJFINANCE,EQ,2018-06-28,2335.5,2337,2348,2253.8,2290,2274.7,2295.23,1713003,3931739916,56405,601254,35.1,2018,6,-2.603296939,Negative
BAJFINANCE,EQ,2018-06-29,2274.7,2282.1,2320,2270.6,2299,2296.35,2298.76,1378421,3168656346,59912,507894,36.85,2018,6,0.95177386,Slight positive
BAJFINANCE,EQ,2018-07-02,2296.35,2300,2314.7,2281.1,2302.9,2299.55,2298.32,840376,1931453787,37151,288240,34.3,2018,7,0.13935158,No change
BAJFINANCE,EQ,2018-07-03,2299.55,2305,2334,2285.75,2326.9,2321.1,2313.4,810667,1875395909,36557,228631,28.2,2018,7,0.937139875,Slight positive
BAJFINANCE,EQ,2018-07-04,2321.1,2333,2345,2306.55,2326.3,2331.4,2329.71,916379,2134896393,33159,254318,27.75,2018,7,0.443755116,No change
BAJFINANCE,EQ,2018-07-05,2331.4,2339,2349,2322.4,2329,2330.15,2335.77,688785,1608840632,26219,269751,39.16,2018,7,-0.053615853,No change
BAJFINANCE,EQ,2018-07-06,2330.15,2338.8,2355,2324,2345.7,2345.7,2343.93,690617,1618754749,26206,179892,26.05,2018,7,0.667339013,Slight positive
BAJFINANCE,EQ,2018-07-09,2345.7,2359,2363.2,2337,2344.45,2348.05,2350.69,551695,1296866603,26391,202430,36.69,2018,7,0.100183314,No change
BAJFINANCE,EQ,2018-07-10,2348.05,2360,2382,2350,2367,2366.35,2370.44,784134,1858743300,45628,308333,39.32,2018,7,0.779370116,Slight positive
BAJFINANCE,EQ,2018-07-11,2366.35,2365.9,2382,2345,2354.3,2355.6,2364.85,594805,1406621874,54305,255550,42.96,2018,7,-0.454286137,No change
BAJFINANCE,EQ,2018-07-12,2355.6,2375,2429,2360.35,2417.2,2415,2406.92,1396150,3360424151,69112,396651,28.41,2018,7,2.521650535,Positive
BAJFINANCE,EQ,2018-07-13,2415,2433.85,2475,2422.2,2474,2468.6,2450.71,1390485,3407674158,54821,388552,27.94,2018,7,2.219461698,Positive
BAJFINANCE,EQ,2018-07-16,2468.6,2475,2499.4,2460,2471,2472.3,2481.26,1172644,2909633439,50502,473561,40.38,2018,7,0.149882525,No change
BAJFINANCE,EQ,2018-07-17,2472.3,2475,2492.25,2435.6,2475,2469.15,2461.04,944686,2324909337,43638,359847,38.09,2018,7,-0.127411722,No change
BAJFINANCE,EQ,2018-07-18,2469.15,2478.2,2523.05,2471.35,2495,2488.75,2496.47,1405478,3508737467,56900,479715,34.13,2018,7,0.793795436,Slight positive
BAJFINANCE,EQ,2018-07-19,2488.75,2503.9,2537,2357.5,2511,2520.2,2464.93,4889817,12053039307,169587,563753,11.53,2018,7,1.26368659,Positive
BAJFINANCE,EQ,2018-07-20,2520.2,2521,2745,2486.85,2721.95,2721.35,2656.7,7361274,19556662675,267359,1246778,16.94,2018,7,7.981509404,Bull run
BAJFINANCE,EQ,2018-07-23,2721.35,2720,2797,2717,2751.65,2755.8,2767.3,3551888,9829125801,128093,713723,20.09,2018,7,1.265915814,Positive
BAJFINANCE,EQ,2018-07-24,2755.8,2749,2758,2687.25,2716,2713.35,2709.44,2778837,7529100200,87382,1413818,50.88,2018,7,-1.540387546,Negative
BAJFINANCE,EQ,2018-07-25,2713.35,2727,2778.3,2692,2699.8,2705.05,2738.22,1884105,5159100379,85845,463879,24.62,2018,7,-0.305894927,No change
BAJFINANCE,EQ,2018-07-26,2705.05,2695,2728.4,2654.8,2697.95,2681.65,2688.94,2185905,5877766748,68161,1360654,62.25,2018,7,-0.865048705,Slight negative
BAJFINANCE,EQ,2018-07-27,2681.65,2685,2724.5,2667.05,2719,2713.7,2699.63,958703,2588146466,53334,283590,29.58,2018,7,1.195159696,Positive
